cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
1,0.951397,116.883424,6.3655564000E+01,9.0689150000E+00,63.6558027,9.0687955,0.9408,1.0425,-0.1221,16.756,0.455,2.4,8.354E-01,14.927,null,1.8,1.205E+00,10.028,0.158,6.9,9.432E-01,7.214,0.298,3.6,1.135E+00,1,0,0.000,0.000,0.000,0.000,0000,CUBB,0,55243.018268,null,null,null,null,null,null,null
2,1.603479,85.364020,6.3631102000E+01,9.0099050000E+00,63.6315515,9.0099410,0.7724,0.9132,-0.0941,16.467,null,1.4,1.094E+00,15.584,0.521,2.1,9.257E-01,9.559,0.113,9.6,1.084E+00,7.542,0.397,2.7,7.888E-01,1,0,0.000,0.000,0.000,0.000,0000,UCBC,0,55243.150572,null,null,null,null,null,null,null
3,2.530202,26.111891,6.3631100000E+01,9.0096530000E+00,63.6314132,9.0102841,1.2552,1.3012,-0.3383,17.098,null,null,8.510E-01,15.257,null,0.6,7.122E-01,10.057,0.163,6.7,6.557E-01,7.172,null,1.7,1.064E+00,2,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55243.150700,null,null,null,null,null,null,null
4,1.614827,-131.991837,6.3606934000E+01,8.9509620000E+00,63.6065965,8.9506619,0.6180,0.7119,0.0335,15.459,0.154,7.0,8.509E-01,14.785,0.246,4.4,1.001E+00,9.696,0.129,8.4,8.494E-01,7.162,null,1.8,1.114E+00,1,0,0.000,0.000,0.000,0.000,0000,BBBU,0,55243.283004,null,null,null,null,null,null,null
5,2.151416,5.045294,6.3594961000E+01,8.9218600000E+00,63.5950142,8.9224553,1.1251,1.2524,-0.3268,16.604,null,1.0,8.483E-01,14.943,null,1.8,4.934E-01,10.021,0.155,7.0,8.437E-01,7.763,null,0.2,1.662E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55243.349092,null,null,null,null,null,null,null
6,0.929811,-123.219834,6.3583059000E+01,8.8925880000E+00,63.5828403,8.8924465,1.4530,1.5852,-0.4045,16.815,0.507,2.1,7.156E-01,15.025,null,1.5,1.197E+00,10.341,0.224,4.9,9.841E-01,7.609,null,0.5,1.323E+00,1,0,0.000,0.000,0.000,0.000,0000,CUBU,0,55243.415308,null,null,null,null,null,null,null
7,0.678580,-112.851265,6.3571229000E+01,8.8636460000E+00,63.5710532,8.8635728,1.0421,1.2261,-0.2261,16.625,null,1.1,6.301E-01,14.949,0.299,3.6,9.755E-01,9.984,0.160,6.8,1.256E+00,7.673,null,0.4,6.589E-01,1,0,0.000,0.000,0.000,0.000,0000,UBBU,0,55243.481396,null,null,null,null,null,null,null
8,0.443654,32.876435,6.3559470000E+01,8.8345330000E+00,63.5595377,8.8346365,2.4171,2.8089,-0.2428,17.074,null,null,1.096E+00,15.399,null,0.4,9.826E-01,10.909,0.470,2.3,7.400E-01,7.158,null,1.8,8.243E-01,1,0,0.000,0.000,0.000,0.000,0000,UUCU,0,55243.547612,null,null,null,null,null,null,null
9,1.411027,14.185747,6.3547782000E+01,8.8057450000E+00,63.5478792,8.8061250,1.7717,2.2390,-0.3679,17.067,null,null,1.001E+00,15.070,null,1.2,9.434E-01,10.590,0.263,4.1,9.014E-01,7.830,null,0.2,1.145E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55243.613701,null,null,null,null,null,null,null
10,2.259439,-26.269990,6.3547781000E+01,8.8054980000E+00,63.5474999,8.8060608,2.2046,2.5776,-0.5648,17.056,null,null,1.065E+00,15.278,null,0.6,7.323E-01,10.610,0.318,3.4,9.806E-01,7.382,null,1.0,1.290E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55243.613828,null,null,null,null,null,null,null
